,0
63,"['That AD fellow is not bad.', 'PelicansNBA', 'ATLHawks', ['That AD fellow is not bad.', ""@ATLHawks - That's what we keep telling folks.""], 2, ['6 Nov 2015', '6 Nov 2015'], ['Atlanta Hawks', 'New Orleans Pelicans'], 2]"
64,"['.@spurs are 26-0 at home, matching 1977-78 @TrailBlazers for 4th-longest home win streak to start a season in @NBAHistory. #ELIAS', 'PelicansNBA', 'ATLHawks', ['.@spurs are 26-0 at home, matching 1977-78 @TrailBlazers for 4th-longest home win streak to start a season in @NBAHistory. #ELIAS', ""@nbastats @spurs @NBAHistory Don't let them break the record, @PelicansNBA"", '@trailblazers @nbastats @spurs @NBAHistory - We like breaking streaks. Right, @ATLHawks?', '@PelicansNBA @nbastats @spurs @NBAHistory @ATLHawkspic.twitter.com/9z5g5eWUWm', '.@trailblazers @PelicansNBA @nbastats @spurs @NBAHistorypic.twitter.com/GvhAldJWUR', '@ATLHawks @trailblazers @nbastats @spurs @NBAHistory -pic.twitter.com/bXHhXB3THA'], 6, ['2 Feb 2016', '2 Feb 2016', '2 Feb 2016', '2 Feb 2016', '2 Feb 2016', '2 Feb 2016'], ['NBA.com/Stats', 'Trail Blazers', 'New Orleans Pelicans', 'Trail Blazers', 'Atlanta Hawks', 'New Orleans Pelicans'], 6]"
65,"['Pelicans 6-6 from three this quarter.\n\n¯\\_(?)_/¯', 'PelicansNBA', 'ATLHawks', ['Pelicans 6-6 from three this quarter.\n\n¯\\_(?)_/¯', '@ATLHawks -pic.twitter.com/XeNBq0GvPA'], 2, ['11 Nov 2015', '11 Nov 2015'], ['Atlanta Hawks', 'New Orleans Pelicans'], 2]"
66,"['So about this Anthony Davis guy...pic.twitter.com/ofqhVNnWLa', 'PelicansNBA', 'ATLHawks', ['So about this Anthony Davis guy...pic.twitter.com/ofqhVNnWLa', ""@ATLHawks - Pretty awesome, isn't he?""], 2, ['2 Feb 2015', '2 Feb 2015'], ['Atlanta Hawks', 'New Orleans Pelicans'], 2]"
67,"['Maaaaaaaaaan ', 'PelicansNBA', 'ATLHawks', ['Maaaaaaaaaan ', '@ATLHawks You guys lost?! To who?', '@trailblazers @ATLHawks - Oh hey guys!'], 3, ['2 Feb 2015', '2 Feb 2015', '2 Feb 2015'], ['Atlanta Hawks', 'Trail Blazers', 'New Orleans Pelicans'], 3]"
68,"['W\nW\nW\nW\nW\nW?\n\nBack at it tonight against the @PelicansNBA! Action on @FOXSportsSE & @929TheGame at 8:00.pic.twitter.com/sINaYfvIWp', 'PelicansNBA', 'ATLHawks', ['W\nW\nW\nW\nW\nW?\n\nBack at it tonight against the @PelicansNBA! Action on @FOXSportsSE & @929TheGame at 8:00.pic.twitter.com/sINaYfvIWp', '@ATLHawks you remember last time you faced the @PelicansNBA when you guys had a winning streak?pic.twitter.com/IK9FqqI9Lm', '@BDBLotteryPicK @PelicansNBA Nope. Not coming back to us...', '@ATLHawks - Oh we can help too!pic.twitter.com/qFZWHIpVhG'], 4, ['6 Nov 2015', '6 Nov 2015', '6 Nov 2015', '6 Nov 2015'], ['Atlanta Hawks', '\xa0?Under6ftandBearded', 'Atlanta Hawks', 'New Orleans Pelicans'], 4]"
69,"['@PelicansNBA @ATLHawkshttps://twitter.com/mscrossy/status/698208421720498181\xa0…', 'PelicansNBA', 'ATLHawks', ['@PelicansNBA @ATLHawkshttps://twitter.com/mscrossy/status/698208421720498181\xa0…', '@ray_garofalo3 @ATLHawks @mscrossy - Ummmm...pic.twitter.com/lyIIGTBVBB'], 2, ['12 Feb 2016', '12 Feb 2016'], ['Ray Garofalo III', 'New Orleans Pelicans'], 2]"
70,"['RIP, 19pic.twitter.com/e0PIYhGM53', 'PelicansNBA', 'ATLHawks', ['RIP, 19pic.twitter.com/e0PIYhGM53', '@ATLHawks -pic.twitter.com/J4O6X7qMVU'], 2, ['3 Feb 2015', '3 Feb 2015'], ['Atlanta Hawks', 'New Orleans Pelicans'], 2]"
71,"['From one bird to another...congrats! RT @PelicansNBA: Now begins the the era of the New Orleans Pelicans. http://on.nba.com/115hJ7S\xa0', 'PelicansNBA', 'ATLHawks', ['From one bird to another...congrats! RT @PelicansNBA: Now begins the the era of the New Orleans Pelicans. http://on.nba.com/115hJ7S\xa0', '@ATLHawks Thanks and good luck in the playoffs!'], 2, ['18 Apr 2013', '18 Apr 2013'], ['Atlanta Hawks', 'New Orleans Pelicans'], 2]"
72,"['Looks like some new signs are going up around #NOLA tomorrow!pic.twitter.com/Fef81IMfmW', 'PelicansNBA', 'ATLHawks', ['Looks like some new signs are going up around #NOLA tomorrow!pic.twitter.com/Fef81IMfmW', '@PelicansNBApic.twitter.com/5hUbNgbc7r', '@ATLHawks -pic.twitter.com/rbfmdAsrIW'], 3, ['2 Feb 2015', '2 Feb 2015', '2 Feb 2015'], ['New Orleans Pelicans', 'Atlanta Hawks', 'New Orleans Pelicans'], 3]"
73,"[""Today's #BucksSportsNutrition Lunch: Crawfish Boilpic.twitter.com/F9qvuxcB97"", 'PelicansNBA', 'Bucks', [""Today's #BucksSportsNutrition Lunch: Crawfish Boilpic.twitter.com/F9qvuxcB97"", '@Bucks -pic.twitter.com/o4ow08im4u', ""@PelicansNBA we'll save a plate for you guys!pic.twitter.com/eTmuAgssyI"", ""@Bucks - Plate?  ... we're gonna need a bigger boat!pic.twitter.com/PSQk0i6f6v""], 4, ['5 Apr 2016', '5 Apr 2016', '5 Apr 2016', '5 Apr 2016'], ['Milwaukee Bucks', 'New Orleans Pelicans', 'Milwaukee Bucks', 'New Orleans Pelicans'], 4]"
74,"['Are the Pelicans the next great #BucksRivalry!?!\n\n@alexboeder examines » http://on.nba.com/1UQWEeb\xa0pic.twitter.com/knpS2RKEVU', 'PelicansNBA', 'Bucks', ['Are the Pelicans the next great #BucksRivalry!?!\n\n@alexboeder examines » http://on.nba.com/1UQWEeb\xa0pic.twitter.com/knpS2RKEVU', '@Bucks -pic.twitter.com/uLN6xGm2kb'], 2, ['19 Aug 2015', '19 Aug 2015'], ['Milwaukee Bucks', 'New Orleans Pelicans'], 2]"
75,"['We are ready to roll to Lexington!pic.twitter.com/Am9DEm49Pd', 'PelicansNBA', 'SacramentoKings', ['We are ready to roll to Lexington!pic.twitter.com/Am9DEm49Pd', '@SacramentoKings - Ditto. See ya there!pic.twitter.com/DSgBpPe9ue'], 2, ['16 Oct 2015', '16 Oct 2015'], ['Sacramento Kings', 'New Orleans Pelicans'], 2]"
76,"['KING CAKE POP-UP PARTY!\n\nJoin #PelicansKCB at Rouses (701 Baronne) on Friday from 12-1PM! Treats & prizes!pic.twitter.com/s5t9O6OFIF', 'PelicansNBA', 'SacramentoKings', ['KING CAKE POP-UP PARTY!\n\nJoin #PelicansKCB at Rouses (701 Baronne) on Friday from 12-1PM! Treats & prizes!pic.twitter.com/s5t9O6OFIF', ""@PelicansNBA 1. A Kings cake sounds better. 2. We're somewhat frightened."", ""@SacramentoKings - 1) It's a face only its team could love. 2) We'll save some slices & terror for you next week.""], 3, ['20 Jan 2016', '20 Jan 2016', '20 Jan 2016'], ['New Orleans Pelicans', 'Sacramento Kings', 'New Orleans Pelicans'], 3]"
77,"['When KCB shows up at your house in an @Uber_NOLA with a special delivery! #PelicansKCBpic.twitter.com/yCeJBUxn17', 'PelicansNBA', 'SacramentoKings', ['When KCB shows up at your house in an @Uber_NOLA with a special delivery! #PelicansKCBpic.twitter.com/yCeJBUxn17', 'Welp, so much for sleeping tonight.', 'he will be the door man for your lockerroom March 31!'], 3, ['Jan 6 2017', 'Jan 6 2017', 'Jan 6 2017'], ['New Orleans Pelicans', 'Sacramento Kings', 'New Orleans Pelicans'], 3]"
78,"['Our thoughts and condolences go out to the family and friends of Bryce Dejean-Jones and @PelicansNBA.', 'PelicansNBA', 'SacramentoKings', ['Our thoughts and condolences go out to the family and friends of Bryce Dejean-Jones and @PelicansNBA.', 'thank you'], 2, ['28 May 2016', '28 May 2016'], ['Sacramento Kings', 'New Orleans Pelicans'], 2]"
79,"['Hey @PelicansNBA AKA second best friends (miss you, @ATLHawks)  #NBAFriendship', 'PelicansNBA', 'SacramentoKings', ['Hey @PelicansNBA AKA second best friends (miss you, @ATLHawks)  #NBAFriendship', 'pic.twitter.com/OCcOpBOShr'], 2, ['Feb 12 2017', 'Feb 12 2017'], ['Sacramento Kings', 'New Orleans Pelicans'], 2]"
80,"['Boogie and the Brow set to face off in the first round of the #NBAAllStarTO Skills Challenge tonight!pic.twitter.com/Pk6tJ1Ge2t', 'PelicansNBA', 'SacramentoKings', ['Boogie and the Brow set to face off in the first round of the #NBAAllStarTO Skills Challenge tonight!pic.twitter.com/Pk6tJ1Ge2t', '@SacramentoKings - Challenge accepted!'], 2, ['13 Feb 2016', '13 Feb 2016'], ['Sacramento Kings', 'New Orleans Pelicans'], 2]"
81,"['pic.twitter.com/w2YJY6ck3d', 'PelicansNBA', 'trailblazers', ['pic.twitter.com/w2YJY6ck3d', '@trailblazers -pic.twitter.com/sX9t0naR5D'], 2, ['14 Dec 2015', '14 Dec 2015'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
82,"['""Take it easy on us tonight, Tim""pic.twitter.com/64zxNIMOpo', 'PelicansNBA', 'trailblazers', ['""Take it easy on us tonight, Tim""pic.twitter.com/64zxNIMOpo', '@trailblazers - ""No promises, Dame.""'], 2, ['18 Mar 2016', '18 Mar 2016'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
83,"['Friends off the court, but...pic.twitter.com/5g9Gwld9jb', 'PelicansNBA', 'trailblazers', ['Friends off the court, but...pic.twitter.com/5g9Gwld9jb', 'pic.twitter.com/EzGFuKDFDA'], 2, ['25 Nov 2016', '25 Nov 2016'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
84,"[""That's more like it.pic.twitter.com/3w6LVcSqed"", 'PelicansNBA', 'trailblazers', [""That's more like it.pic.twitter.com/3w6LVcSqed"", '@trailblazers -pic.twitter.com/ddUaLULDww'], 2, ['14 Dec 2015', '14 Dec 2015'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
85,"['Who’s ready for Opening Night vs. @PelicansNBA?\n\nLimited tickets still remain » http://rip.city/SIngleTix\xa0pic.twitter.com/EnSAYoqKhw', 'PelicansNBA', 'trailblazers', ['Who’s ready for Opening Night vs. @PelicansNBA?\n\nLimited tickets still remain » http://rip.city/SIngleTix\xa0pic.twitter.com/EnSAYoqKhw', ""@trailblazers - We'll be there! We may even wear the non-teal jerseys too. pic.twitter.com/46d2aACx7p""], 2, ['20 Oct 2015', '20 Oct 2015'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
86,"['Anthony Davis is taller than the last time he was here.', 'PelicansNBA', 'trailblazers', ['Anthony Davis is taller than the last time he was here.', '@trailblazers - Must be the hair.'], 2, ['4 Apr 2015', '4 Apr 2015'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
87,"['@PelicansNBApic.twitter.com/xf6m7UKrts', 'PelicansNBA', 'trailblazers', ['@PelicansNBApic.twitter.com/xf6m7UKrts', '@trailblazers -pic.twitter.com/bz9lVqdeRW'], 2, ['17 Nov 2014', '17 Nov 2014'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
88,"['you guys played some good basketball tonight, @PelicansNBA ', 'PelicansNBA', 'trailblazers', ['you guys played some good basketball tonight, @PelicansNBA ', 'we agree \n\nSafe travels backpic.twitter.com/hkwEhzlWuP'], 2, ['Mar 14 2017', 'Mar 14 2017'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
89,"[""(we're within single digits)"", 'PelicansNBA', 'trailblazers', [""(we're within single digits)"", 'pic.twitter.com/4j03VXd6z0'], 2, ['18 Nov 2016', '18 Nov 2016'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
90,"['Maaaaaaaaaan ', 'PelicansNBA', 'trailblazers', ['Maaaaaaaaaan ', '@ATLHawks You guys lost?! To who?', '@trailblazers @ATLHawks - Oh hey guys!'], 3, ['2 Feb 2015', '2 Feb 2015', '2 Feb 2015'], ['Atlanta Hawks', 'Trail Blazers', 'New Orleans Pelicans'], 3]"
91,"['AD for 3 cuts the Blazers lead to 80-70 with 6:34 left in the 3rd #Pelicanspic.twitter.com/0YN1gRwJHn', 'PelicansNBA', 'trailblazers', ['AD for 3 cuts the Blazers lead to 80-70 with 6:34 left in the 3rd #Pelicanspic.twitter.com/0YN1gRwJHn', 'is AD demonstrating the size of our lead?', 'pic.twitter.com/zfWs4CclCc'], 3, ['25 Nov 2016', '25 Nov 2016', '25 Nov 2016'], ['New Orleans Pelicans', 'Trail Blazers', 'New Orleans Pelicans'], 3]"
92,"['.......good game @PelicansNBApic.twitter.com/XUszUAgAPw', 'PelicansNBA', 'trailblazers', ['.......good game @PelicansNBApic.twitter.com/XUszUAgAPw', '@trailblazers -pic.twitter.com/KHVzvjuBS7'], 2, ['23 Dec 2015', '23 Dec 2015'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
93,"['@PelicansNBA sup with all the ', 'PelicansNBA', 'trailblazers', ['@PelicansNBA sup with all the ', '@trailblazers - Embrace Louisiana in the spring, yo.pic.twitter.com/bJJJgWJHoI'], 2, ['18 Mar 2016', '18 Mar 2016'], ['Trail Blazers', 'New Orleans Pelicans'], 2]"
94,"['#Pelicans finish off the Blazers 110-108 in an exciting one at the Arena. @Jrue_Holiday11 with a season-high 31pts/13asts.', 'PelicansNBA', 'trailblazers', ['#Pelicans finish off the Blazers 110-108 in an exciting one at the Arena. @Jrue_Holiday11 with a season-high 31pts/13asts.', '@PelicansNBA @Jrue_Holiday11 Congrats on a great game. Jrue was a nightmare tonight.', ""@trailblazers @Jrue_Holiday11 - Great game! Don't think we can ever play each other without it coming down to the wire. See you in March!""], 3, ['30 Dec 2013', '30 Dec 2013', '30 Dec 2013'], ['New Orleans Pelicans', 'Trail Blazers', 'New Orleans Pelicans'], 3]"
